
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE04 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
    16.00   -18.00  -337.61  -194.84     5.79    47.64   -29.76    -1.77    -0.79     1.22    12.01   -13.29  1149.76   193.56
    16.00   -20.00  -333.42  -194.81     6.55    47.64   -34.51    -1.77    -0.73     1.28    12.01   -14.76  1149.76   134.63
    16.00   -22.00  -329.77  -194.78     7.31    47.64   -39.28    -1.77    -0.68     1.35    12.01   -16.22  1149.76    75.47
    16.00   -24.00  -326.55  -194.76     8.06    47.64   -44.08    -1.77    -0.62     1.42    12.01   -17.69  1149.76    16.08
    16.00   -26.00  -325.75  -194.75     8.27    47.64   -45.38    -1.77    -0.60     1.44    12.01   -18.08  1149.76     0.00
    18.00     0.00  -646.65  -201.38    -8.15    51.98    12.00    -1.83    -1.30     0.66    13.53     0.00  1202.44   712.01
    18.00     2.00  -778.11  -202.95   -10.47    51.98    16.54    -1.83    -1.36     0.59    13.53     1.49  1202.44   768.10
    18.00     4.00 -1053.58  -206.25   -14.51    51.98    21.05    -1.83    -1.42     0.52    13.53     2.98  1202.44   823.84
    18.00     6.00 -1995.89  -217.52   -26.54    51.98    25.54    -1.83    -1.47     0.45    13.53     4.48  1202.44   879.21
    18.00     8.00  7908.56   -98.99    91.25    51.98    30.01    -1.83    -1.53     0.37    13.53     5.98  1202.44   934.19
    18.00    10.00   936.51  -182.43     7.05    51.98    34.46    -1.83    -1.59     0.30    13.53     7.48  1202.44   988.75
    18.00    12.00   379.23  -189.10    -0.37    51.98    38.88    -1.83    -1.65     0.22    13.53     8.99  1202.44  1042.89
    18.00    14.00   173.15  -191.57    -3.59    51.98    43.27    -1.83    -1.71     0.15    13.53    10.50  1202.44  1096.57
    18.00    16.00    65.83  -192.85    -5.64    51.98    47.64    -1.83    -1.77     0.08    13.53    12.01  1202.44  1149.76
    18.00    18.00     0.00  -193.64    -7.18    51.98    51.98    -1.83    -1.83     0.00    13.53    13.53  1202.44  1202.44
    18.00    20.00   -44.50  -194.17    -8.48    51.98    56.30    -1.83    -1.89    -0.08    13.53    15.06  1202.44  1254.59
    18.00    22.00   -76.58  -194.55    -9.63    51.98    60.58    -1.83    -1.94    -0.15    13.53    16.59  1202.44  1306.16
    18.00    24.00  -100.81  -194.84   -10.69    51.98    64.83    -1.83    -2.01    -0.23    13.53    18.12  1202.44  1357.12
    18.00    26.00  -119.76  -195.07   -11.69    51.98    69.04    -1.83    -2.07    -0.31    13.53    19.66  1202.44  1407.43
    18.00    28.00  -134.98  -195.25   -12.65    51.98    73.22    -1.83    -2.13    -0.38    13.53    21.21  1202.44  1457.06
    18.00    30.00  -147.47  -195.40   -13.57    51.98    77.35    -1.83    -2.19    -0.46    13.53    22.76  1202.44  1505.95
    18.00    32.00  -157.91  -195.53   -14.48    51.98    81.45    -1.83    -2.25    -0.54    13.53    24.32  1202.44  1554.06
    18.00    34.00  -166.76  -195.63   -15.37    51.98    85.49    -1.83    -2.31    -0.62    13.53    25.89  1202.44  1601.34
    18.00    36.00  -174.36  -195.72   -16.25    51.98    89.49    -1.83    -2.37    -0.70    13.53    27.46  1202.44  1647.72
    18.00    38.00  -180.96  -195.80   -17.13    51.98    93.43    -1.83    -2.44    -0.78    13.53    29.05  1202.44  1693.16
    18.00    40.00  -186.74  -195.87   -18.00    51.98    97.31    -1.83    -2.50    -0.87    13.53    30.64  1202.44  1737.56
    18.00    42.00  -191.85  -195.93   -18.86    51.98   101.13    -1.83    -2.56    -0.95    13.53    32.24  1202.44  1780.87
    18.00    44.00  -196.40  -195.99   -19.73    51.98   104.87    -1.83    -2.63    -1.03    13.53    33.86  1202.44  1822.99
    18.00    46.00  -200.47  -196.04   -20.59    51.98   108.54    -1.83    -2.69    -1.12    13.53    35.48  1202.44  1863.83
    18.00    48.00  -204.14  -196.08   -21.46    51.98   112.13    -1.83    -2.76    -1.20    13.53    37.12  1202.44  1903.30
    18.00    50.00  -207.46  -196.12   -22.33    51.98   115.62    -1.83    -2.82    -1.29    13.53    38.77  1202.44  1941.28
    18.00    52.00  -210.49  -196.16   -23.20    51.98   119.02    -1.83    -2.89    -1.38    13.53    40.43  1202.44  1977.63
    18.00    54.00  -213.26  -196.19   -24.08    51.98   122.30    -1.83    -2.96    -1.46    13.53    42.11  1202.44  2012.22
    18.00    56.00  -215.80  -196.22   -24.96    51.98   125.46    -1.83    -3.03    -1.55    13.53    43.81  1202.44  2044.89
    18.00     0.00  -646.65  -201.38    -8.15    51.98    12.00    -1.83    -1.30     0.66    13.53     0.00  1202.44   712.01
    18.00    -2.00  -569.67  -200.46    -6.49    51.98     7.44    -1.83    -1.24     0.73    13.53    -1.49  1202.44   655.58
    18.00    -4.00  -519.13  -199.85    -5.14    51.98     2.87    -1.83    -1.19     0.80    13.53    -2.97  1202.44   598.83
    18.00    -6.00  -483.40  -199.42    -3.97    51.98    -1.73    -1.83    -1.13     0.88    13.53    -4.45  1202.44   541.77
    18.00    -8.00  -456.81  -199.10    -2.91    51.98    -6.35    -1.83    -1.07     0.95    13.53    -5.93  1202.44   484.41
    18.00   -10.00  -436.25  -198.86    -1.93    51.98   -10.99    -1.83    -1.01     1.02    13.53    -7.41  1202.44   426.77
    18.00   -12.00  -419.88  -198.66    -1.00    51.98   -15.65    -1.83    -0.96     1.09    13.53    -8.88  1202.44   368.86
    18.00   -14.00  -406.54  -198.50    -0.10    51.98   -20.33    -1.83    -0.90     1.15    13.53   -10.36  1202.44   310.68
    18.00   -16.00  -395.46  -198.37     0.76    51.98   -25.04    -1.83    -0.84     1.22    13.53   -11.83  1202.44   252.24
    18.00   -18.00  -386.11  -198.26     1.61    51.98   -29.76    -1.83    -0.79     1.29    13.53   -13.29  1202.44   193.56
    18.00   -20.00  -378.11  -198.16     2.44    51.98   -34.51    -1.83    -0.73     1.36    13.53   -14.76  1202.44   134.63
    18.00   -22.00  -371.20  -198.08     3.25    51.98   -39.28    -1.83    -0.68     1.43    13.53   -16.22  1202.44    75.47
    18.00   -24.00  -365.17  -198.01     4.05    51.98   -44.08    -1.83    -0.62     1.50    13.53   -17.69  1202.44    16.08
    18.00   -26.00  -363.67  -197.99     4.27    51.98   -45.38    -1.83    -0.60     1.51    13.53   -18.08  1202.44     0.00
    20.00     0.00  -979.56  -211.20   -18.74    56.30    12.00    -1.89    -1.30     0.74    15.06     0.00  1254.59   712.01
    20.00     2.00 -1368.27  -217.67   -25.95    56.30    16.54    -1.89    -1.36     0.67    15.06     1.49  1254.59   768.10
    20.00     4.00 -2715.11  -240.07   -49.10    56.30    21.05    -1.89    -1.42     0.59    15.06     2.98  1254.59   823.84
    20.00     6.00 10221.40   -24.91   165.31    56.30    25.54    -1.89    -1.47     0.52    15.06     4.48  1254.59   879.21
    20.00     8.00  1390.09  -171.79    17.68    56.30    30.01    -1.89    -1.53     0.45    15.06     5.98  1254.59   934.19
    20.00    10.00   629.11  -184.45     4.27    56.30    34.46    -1.89    -1.59     0.37    15.06     7.48  1254.59   988.75
    20.00    12.00   345.44  -189.16    -1.20    56.30    38.88    -1.89    -1.65     0.30    15.06     8.99  1254.59  1042.89
    20.00    14.00   197.23  -191.63    -4.42    56.30    43.27    -1.89    -1.71     0.23    15.06    10.50  1254.59  1096.57
    20.00    16.00   106.14  -193.15    -6.69    56.30    47.64    -1.89    -1.77     0.15    15.06    12.01  1254.59  1149.76
    20.00    18.00    44.50  -194.17    -8.48    56.30    51.98    -1.89    -1.83     0.08    15.06    13.53  1254.59  1202.44
    20.00    20.00     0.00  -194.91    -9.98    56.30    56.30    -1.89    -1.89     0.00    15.06    15.06  1254.59  1254.59
    20.00    22.00   -33.63  -195.47   -11.31    56.30    60.58    -1.89    -1.94    -0.08    15.06    16.59  1254.59  1306.16
    20.00    24.00   -59.94  -195.91   -12.52    56.30    64.83    -1.89    -2.01    -0.15    15.06    18.12  1254.59  1357.12
    20.00    26.00   -81.09  -196.26   -13.64    56.30    69.04    -1.89    -2.07    -0.23    15.06    19.66  1254.59  1407.43
    20.00    28.00   -98.46  -196.55   -14.70    56.30    73.22    -1.89    -2.13    -0.31    15.06    21.21  1254.59  1457.06
    20.00    30.00  -112.98  -196.79   -15.72    56.30    77.35    -1.89    -2.19    -0.39    15.06    22.76  1254.59  1505.95
    20.00    32.00  -125.30  -196.99   -16.71    56.30    81.45    -1.89    -2.25    -0.47    15.06    24.32  1254.59  1554.06
    20.00    34.00  -135.88  -197.17   -17.67    56.30    85.49    -1.89    -2.31    -0.55    15.06    25.89  1254.59  1601.34
    20.00    36.00  -145.08  -197.32   -18.62    56.30    89.49    -1.89    -2.37    -0.63    15.06    27.46  1254.59  1647.72
    20.00    38.00  -153.14  -197.46   -19.55    56.30    93.43    -1.89    -2.44    -0.71    15.06    29.05  1254.59  1693.16
    20.00    40.00  -160.27  -197.58   -20.46    56.30    97.31    -1.89    -2.50    -0.79    15.06    30.64  1254.59  1737.56
    20.00    42.00  -166.61  -197.68   -21.37    56.30   101.13    -1.89    -2.56    -0.87    15.06    32.24  1254.59  1780.87
    20.00    44.00  -172.30  -197.78   -22.28    56.30   104.87    -1.89    -2.63    -0.96    15.06    33.86  1254.59  1822.99
    20.00    46.00  -177.43  -197.86   -23.18    56.30   108.54    -1.89    -2.69    -1.04    15.06    35.48  1254.59  1863.83
    20.00    48.00  -182.08  -197.94   -24.08    56.30   112.13    -1.89    -2.76    -1.13    15.06    37.12  1254.59  1903.30
    20.00    50.00  -186.32  -198.01   -24.98    56.30   115.62    -1.89    -2.82    -1.21    15.06    38.77  1254.59  1941.28
    20.00    52.00  -190.19  -198.07   -25.88    56.30   119.02    -1.89    -2.89    -1.30    15.06    40.43  1254.59  1977.63
    20.00    54.00  -193.75  -198.13   -26.78    56.30   122.30    -1.89    -2.96    -1.39    15.06    42.11  1254.59  2012.22
    20.00    56.00  -197.04  -198.19   -27.69    56.30   125.46    -1.89    -3.03    -1.48    15.06    43.81  1254.59  2044.89
    20.00     0.00  -979.56  -211.20   -18.74    56.30    12.00    -1.89    -1.30     0.74    15.06     0.00  1254.59   712.01
    20.00    -2.00  -794.83  -208.13   -14.92    56.30     7.44    -1.89    -1.24     0.81    15.06    -1.49  1254.59   655.58
    20.00    -4.00  -686.89  -206.33   -12.39    56.30     2.87    -1.89    -1.19     0.88    15.06    -2.97  1254.59   598.83
    20.00    -6.00  -616.10  -205.16   -10.47    56.30    -1.73    -1.89    -1.13     0.95    15.06    -4.45  1254.59   541.77
    20.00    -8.00  -566.10  -204.33    -8.90    56.30    -6.35    -1.89    -1.07     1.02    15.06    -5.93  1254.59   484.41
    20.00   -10.00  -528.91  -203.71    -7.54    56.30   -10.99    -1.89    -1.01     1.09    15.06    -7.41  1254.59   426.77
    20.00   -12.00  -500.16  -203.23    -6.33    56.30   -15.65    -1.89    -0.96     1.16    15.06    -8.88  1254.59   368.86
    20.00   -14.00  -477.28  -202.85    -5.21    56.30   -20.33    -1.89    -0.90     1.23    15.06   -10.36  1254.59   310.68
    20.00   -16.00  -458.63  -202.54    -4.17    56.30   -25.04    -1.89    -0.84     1.30    15.06   -11.83  1254.59   252.24
    20.00   -18.00  -443.14  -202.28    -3.18    56.30   -29.76    -1.89    -0.79     1.37    15.06   -13.29  1254.59   193.56
    20.00   -20.00  -430.07  -202.06    -2.23    56.30   -34.51    -1.89    -0.73     1.44    15.06   -14.76  1254.59   134.63
    20.00   -22.00  -418.90  -201.88    -1.31    56.30   -39.28    -1.89    -0.68     1.50    15.06   -16.22  1254.59    75.47
    20.00   -24.00  -409.23  -201.72    -0.42    56.30   -44.08    -1.89    -0.62     1.57    15.06   -17.69  1254.59    16.08
    20.00   -26.00  -406.84  -201.68    -0.18    56.30   -45.38    -1.89    -0.60     1.59    15.06   -18.08  1254.59     0.00
    22.00     0.00 -1693.86  -232.28   -40.59    60.58    12.00    -1.94    -1.30     0.81    16.59     0.00  1306.15   712.01
    22.00     2.00 -3485.30  -270.46   -79.51    60.58    16.54    -1.94    -1.36     0.74    16.59     1.49  1306.15   768.10
    22.00     4.00 11914.47    57.72   247.93    60.58    21.05    -1.94    -1.42     0.67    16.59     2.98  1306.15   823.84
    22.00     6.00  1826.63  -157.26    32.20    60.58    25.54    -1.94    -1.47     0.60    16.59     4.48  1306.15   879.21
    22.00     8.00   874.61  -177.55    11.16    60.58    30.01    -1.94    -1.53     0.52    16.59     5.98  1306.15   934.19
    22.00    10.00   516.04  -185.19     2.77    60.58    34.46    -1.94    -1.59     0.45    16.59     7.48  1306.15   988.75
    22.00    12.00   327.87  -189.20    -2.00    60.58    38.88    -1.94    -1.65     0.38    16.59     8.99  1306.15  1042.89
    22.00    14.00   211.95  -191.67    -5.23    60.58    43.27    -1.94    -1.71     0.30    16.59    10.50  1306.15  1096.57
    22.00    16.00   133.37  -193.34    -7.66    60.58    47.64    -1.94    -1.77     0.23    16.59    12.01  1306.15  1149.76
    22.00    18.00    76.58  -194.55    -9.63    60.58    51.98    -1.94    -1.83     0.15    16.59    13.53  1306.15  1202.44
    22.00    20.00    33.63  -195.47   -11.31    60.58    56.30    -1.94    -1.89     0.08    16.59    15.06  1306.15  1254.59
    22.00    22.00     0.00  -196.19   -12.79    60.58    60.58    -1.94    -1.94     0.00    16.59    16.59  1306.15  1306.16
    22.00    24.00   -27.05  -196.76   -14.14    60.58    64.83    -1.94    -2.01    -0.08    16.59    18.12  1306.15  1357.12
    22.00    26.00   -49.27  -197.24   -15.38    60.58    69.04    -1.94    -2.07    -0.15    16.59    19.66  1306.15  1407.43
    22.00    28.00   -67.86  -197.63   -16.55    60.58    73.22    -1.94    -2.13    -0.23    16.59    21.21  1306.15  1457.06
    22.00    30.00   -83.64  -197.97   -17.67    60.58    77.35    -1.94    -2.19    -0.31    16.59    22.76  1306.15  1505.95
    22.00    32.00   -97.20  -198.26   -18.74    60.58    81.45    -1.94    -2.25    -0.39    16.59    24.32  1306.15  1554.06
    22.00    34.00  -108.99  -198.51   -19.78    60.58    85.49    -1.94    -2.31    -0.47    16.59    25.89  1306.15  1601.34
    22.00    36.00  -119.33  -198.73   -20.79    60.58    89.49    -1.94    -2.37    -0.55    16.59    27.46  1306.15  1647.72
    22.00    38.00  -128.47  -198.92   -21.78    60.58    93.43    -1.94    -2.44    -0.63    16.59    29.05  1306.15  1693.16
    22.00    40.00  -136.61  -199.10   -22.75    60.58    97.31    -1.94    -2.50    -0.71    16.59    30.64  1306.15  1737.56
    22.00    42.00  -143.92  -199.25   -23.71    60.58   101.13    -1.94    -2.56    -0.80    16.59    32.24  1306.15  1780.87
    22.00    44.00  -150.50  -199.39   -24.66    60.58   104.87    -1.94    -2.63    -0.88    16.59    33.86  1306.15  1822.99
    22.00    46.00  -156.48  -199.52   -25.60    60.58   108.54    -1.94    -2.69    -0.97    16.59    35.48  1306.15  1863.83
    22.00    48.00  -161.92  -199.64   -26.54    60.58   112.13    -1.94    -2.76    -1.05    16.59    37.12  1306.15  1903.30
    22.00    50.00  -166.90  -199.74   -27.48    60.58   115.62    -1.94    -2.82    -1.14    16.59    38.77  1306.15  1941.28
    22.00    52.00  -171.48  -199.84   -28.41    60.58   119.02    -1.94    -2.89    -1.22    16.59    40.43  1306.15  1977.63
    22.00    54.00  -175.70  -199.93   -29.35    60.58   122.30    -1.94    -2.96    -1.31    16.59    42.11  1306.15  2012.22
    22.00    56.00  -179.61  -200.01   -30.28    60.58   125.46    -1.94    -3.03    -1.40    16.59    43.81  1306.15  2044.89
    22.00     0.00 -1693.86  -232.28   -40.59    60.58    12.00    -1.94    -1.30     0.81    16.59     0.00  1306.15   712.01
    22.00    -2.00 -1185.87  -221.46   -29.02    60.58     7.44    -1.94    -1.24     0.89    16.59    -1.49  1306.15   655.58
    22.00    -4.00  -945.84  -216.34   -23.16    60.58     2.87    -1.94    -1.19     0.96    16.59    -2.97  1306.15   598.83
    22.00    -6.00  -805.99  -213.36   -19.44    60.58    -1.73    -1.94    -1.13     1.03    16.59    -4.45  1306.15   541.77
    22.00    -8.00  -714.44  -211.41   -16.75    60.58    -6.35    -1.94    -1.07     1.10    16.59    -5.93  1306.15   484.41
    22.00   -10.00  -649.85  -210.04   -14.64    60.58   -10.99    -1.94    -1.01     1.17    16.59    -7.41  1306.15   426.77
    22.00   -12.00  -601.84  -209.01   -12.88    60.58   -15.65    -1.94    -0.96     1.24    16.59    -8.88  1306.15   368.86
    22.00   -14.00  -564.75  -208.22   -11.35    60.58   -20.33    -1.94    -0.90     1.31    16.59   -10.36  1306.15   310.68
    22.00   -16.00  -535.24  -207.59    -9.99    60.58   -25.04    -1.94    -0.84     1.38    16.59   -11.83  1306.15   252.24
    22.00   -18.00  -511.20  -207.08    -8.74    60.58   -29.76    -1.94    -0.79     1.44    16.59   -13.29  1306.15   193.56
    22.00   -20.00  -491.24  -206.66    -7.59    60.58   -34.51    -1.94    -0.73     1.51    16.59   -14.76  1306.15   134.63
    22.00   -22.00  -474.40  -206.30    -6.50    60.58   -39.28    -1.94    -0.68     1.58    16.59   -16.22  1306.15    75.47
    22.00   -24.00  -460.00  -205.99    -5.46    60.58   -44.08    -1.94    -0.62     1.65    16.59   -17.69  1306.15    16.08
    22.00   -26.00  -456.46  -205.91    -5.19    60.58   -45.38    -1.94    -0.60     1.67    16.59   -18.08  1306.15     0.00
    24.00     0.00 -4325.90  -309.97  -119.04    64.83    12.00    -2.01    -1.30     0.89    18.12     0.00  1357.12   712.01
    24.00     2.00 13029.94   141.39   331.58    64.83    16.54    -2.01    -1.36     0.82    18.12     1.49  1357.12   768.10
    24.00     4.00  2241.31  -139.18    50.26    64.83    21.05    -2.01    -1.42     0.75    18.12     2.98  1357.12   823.84
    24.00     6.00  1114.09  -168.49    20.19    64.83    25.54    -2.01    -1.47     0.67    18.12     4.48  1357.12   879.21
    24.00     8.00   684.10  -179.68     8.26    64.83    30.01    -2.01    -1.53     0.60    18.12     5.98  1357.12   934.19
    24.00    10.00   457.25  -185.57     1.61    64.83    34.46    -2.01    -1.59     0.53    18.12     7.48  1357.12   988.75
    24.00    12.00   317.08  -189.22    -2.79    64.83    38.88    -2.01    -1.65     0.45    18.12     8.99  1357.12  1042.89
    24.00    14.00   221.87  -191.70    -6.02    64.83    43.27    -2.01    -1.71     0.38    18.12    10.50  1357.12  1096.57
    24.00    16.00   152.98  -193.49    -8.57    64.83    47.64    -2.01    -1.77     0.30    18.12    12.01  1357.12  1149.76
    24.00    18.00   100.81  -194.84   -10.69    64.83    51.98    -2.01    -1.83     0.23    18.12    13.53  1357.12  1202.44
    24.00    20.00    59.94  -195.91   -12.52    64.83    56.30    -2.01    -1.89     0.15    18.12    15.06  1357.12  1254.59
    24.00    22.00    27.05  -196.76   -14.14    64.83    60.58    -2.01    -1.94     0.08    18.12    16.59  1357.12  1306.16
    24.00    24.00     0.00  -197.47   -15.61    64.83    64.83    -2.01    -2.01     0.00    18.12    18.12  1357.12  1357.12
    24.00    26.00   -22.63  -198.05   -16.97    64.83    69.04    -2.01    -2.07    -0.08    18.12    19.66  1357.12  1407.43
    24.00    28.00   -41.85  -198.55   -18.25    64.83    73.22    -2.01    -2.13    -0.16    18.12    21.21  1357.12  1457.06
    24.00    30.00   -58.38  -198.98   -19.45    64.83    77.35    -2.01    -2.19    -0.23    18.12    22.76  1357.12  1505.95
    24.00    32.00   -72.75  -199.36   -20.61    64.83    81.45    -2.01    -2.25    -0.31    18.12    24.32  1357.12  1554.06
    24.00    34.00   -85.35  -199.69   -21.72    64.83    85.49    -2.01    -2.31    -0.39    18.12    25.89  1357.12  1601.34
    24.00    36.00   -96.50  -199.98   -22.80    64.83    89.49    -2.01    -2.37    -0.47    18.12    27.46  1357.12  1647.72
    24.00    38.00  -106.44  -200.23   -23.86    64.83    93.43    -2.01    -2.44    -0.56    18.12    29.05  1357.12  1693.16
    24.00    40.00  -115.35  -200.47   -24.89    64.83    97.31    -2.01    -2.50    -0.64    18.12    30.64  1357.12  1737.56
    24.00    42.00  -123.39  -200.67   -25.90    64.83   101.13    -2.01    -2.56    -0.72    18.12    32.24  1357.12  1780.87
    24.00    44.00  -130.68  -200.86   -26.90    64.83   104.87    -2.01    -2.63    -0.80    18.12    33.86  1357.12  1822.99
    24.00    46.00  -137.33  -201.04   -27.89    64.83   108.54    -2.01    -2.69    -0.89    18.12    35.48  1357.12  1863.83
    24.00    48.00  -143.41  -201.20   -28.87    64.83   112.13    -2.01    -2.76    -0.97    18.12    37.12  1357.12  1903.30
    24.00    50.00  -149.01  -201.34   -29.84    64.83   115.62    -2.01    -2.82    -1.06    18.12    38.77  1357.12  1941.28
    24.00    52.00  -154.17  -201.48   -30.82    64.83   119.02    -2.01    -2.89    -1.15    18.12    40.43  1357.12  1977.63
    24.00    54.00  -158.95  -201.60   -31.78    64.83   122.30    -2.01    -2.96    -1.24    18.12    42.11  1357.12  2012.22
    24.00    56.00  -163.39  -201.72   -32.75    64.83   125.46    -2.01    -3.03    -1.32    18.12    43.81  1357.12  2044.89
    24.00     0.00 -4325.90  -309.97  -119.04    64.83    12.00    -2.01    -1.30     0.89    18.12     0.00  1357.12   712.01
    24.00    -2.00 -2033.52  -250.35   -58.68    64.83     7.44    -2.01    -1.24     0.96    18.12    -1.49  1357.12   655.58
    24.00    -4.00 -1398.28  -233.83   -41.42    64.83     2.87    -2.01    -1.19     1.03    18.12    -2.97  1357.12   598.83
    24.00    -6.00 -1100.32  -226.08   -32.93    64.83    -1.73    -2.01    -1.13     1.10    18.12    -4.45  1357.12   541.77
    24.00    -8.00  -927.38  -221.58   -27.69    64.83    -6.35    -2.01    -1.07     1.17    18.12    -5.93  1357.12   484.41
    24.00   -10.00  -814.41  -218.65   -24.02    64.83   -10.99    -2.01    -1.01     1.24    18.12    -7.41  1357.12   426.77
    24.00   -12.00  -734.83  -216.58   -21.21    64.83   -15.65    -2.01    -0.96     1.31    18.12    -8.88  1357.12   368.86
    24.00   -14.00  -675.74  -215.04   -18.94    64.83   -20.33    -2.01    -0.90     1.38    18.12   -10.36  1357.12   310.68
    24.00   -16.00  -630.13  -213.85   -17.02    64.83   -25.04    -2.01    -0.84     1.45    18.12   -11.83  1357.12   252.24
    24.00   -18.00  -593.86  -212.91   -15.34    64.83   -29.76    -2.01    -0.79     1.52    18.12   -13.29  1357.12   193.56
    24.00   -20.00  -564.33  -212.14   -13.84    64.83   -34.51    -2.01    -0.73     1.59    18.12   -14.76  1357.12   134.63
    24.00   -22.00  -539.81  -211.50   -12.47    64.83   -39.28    -2.01    -0.68     1.66    18.12   -16.22  1357.12    75.47
    24.00   -24.00  -519.14  -210.97   -11.21    64.83   -44.08    -2.01    -0.62     1.72    18.12   -17.69  1357.12    16.08
    24.00   -26.00  -514.10  -210.84   -10.88    64.83   -45.38    -2.01    -0.60     1.74    18.12   -18.08  1357.12     0.00
    26.00     0.00 13659.03   220.84   411.00    69.04    12.00    -2.07    -1.30     0.97    19.66     0.00  1407.43   712.01
    26.00     2.00  2629.99  -117.96    71.45    69.04    16.54    -2.07    -1.36     0.90    19.66     1.49  1407.43   768.10
    26.00     4.00  1345.97  -157.40    31.26    69.04    21.05    -2.07    -1.42     0.82    19.66     2.98  1407.43   823.84
    26.00     6.00   848.82  -172.68    15.24    69.04    25.54    -2.07    -1.47     0.75    19.66     4.48  1407.43   879.21
    26.00     8.00   584.86  -180.78     6.38    69.04    30.01    -2.07    -1.53     0.68    19.66     5.98  1407.43   934.19
    26.00    10.00   421.19  -185.81     0.60    69.04    34.46    -2.07    -1.59     0.61    19.66     7.48  1407.43   988.75
    26.00    12.00   309.76  -189.23    -3.58    69.04    38.88    -2.07    -1.65     0.53    19.66     8.99  1407.43  1042.89
    26.00    14.00   229.00  -191.72    -6.81    69.04    43.27    -2.07    -1.71     0.46    19.66    10.50  1407.43  1096.57
    26.00    16.00   167.78  -193.60    -9.45    69.04    47.64    -2.07    -1.77     0.38    19.66    12.01  1407.43  1149.76
    26.00    18.00   119.76  -195.07   -11.69    69.04    51.98    -2.07    -1.83     0.31    19.66    13.53  1407.43  1202.44
    26.00    20.00    81.09  -196.26   -13.64    69.04    56.30    -2.07    -1.89     0.23    19.66    15.06  1407.43  1254.59
    26.00    22.00    49.27  -197.24   -15.38    69.04    60.58    -2.07    -1.94     0.15    19.66    16.59  1407.43  1306.16
    26.00    24.00    22.63  -198.05   -16.97    69.04    64.83    -2.07    -2.01     0.08    19.66    18.12  1407.43  1357.12
    26.00    26.00     0.00  -198.75   -18.44    69.04    69.04    -2.07    -2.07     0.00    19.66    19.66  1407.43  1407.43
    26.00    28.00   -19.47  -199.35   -19.81    69.04    73.22    -2.07    -2.13    -0.08    19.66    21.21  1407.43  1457.06
    26.00    30.00   -36.40  -199.87   -21.11    69.04    77.35    -2.07    -2.19    -0.16    19.66    22.76  1407.43  1505.95
    26.00    32.00   -51.26  -200.32   -22.35    69.04    81.45    -2.07    -2.25    -0.24    19.66    24.32  1407.43  1554.06
    26.00    34.00   -64.40  -200.73   -23.54    69.04    85.49    -2.07    -2.31    -0.32    19.66    25.89  1407.43  1601.34
    26.00    36.00   -76.12  -201.09   -24.69    69.04    89.49    -2.07    -2.37    -0.40    19.66    27.46  1407.43  1647.72
    26.00    38.00   -86.64  -201.41   -25.81    69.04    93.43    -2.07    -2.44    -0.48    19.66    29.05  1407.43  1693.16
    26.00    40.00   -96.12  -201.70   -26.90    69.04    97.31    -2.07    -2.50    -0.56    19.66    30.64  1407.43  1737.56
    26.00    42.00  -104.73  -201.97   -27.97    69.04   101.13    -2.07    -2.56    -0.64    19.66    32.24  1407.43  1780.87
    26.00    44.00  -112.58  -202.21   -29.02    69.04   104.87    -2.07    -2.63    -0.73    19.66    33.86  1407.43  1822.99
    26.00    46.00  -119.76  -202.43   -30.05    69.04   108.54    -2.07    -2.69    -0.81    19.66    35.48  1407.43  1863.83
    26.00    48.00  -126.36  -202.63   -31.08    69.04   112.13    -2.07    -2.76    -0.90    19.66    37.12  1407.43  1903.30
    26.00    50.00  -132.46  -202.82   -32.09    69.04   115.62    -2.07    -2.82    -0.98    19.66    38.77  1407.43  1941.28
    26.00    52.00  -138.10  -202.99   -33.10    69.04   119.02    -2.07    -2.89    -1.07    19.66    40.43  1407.43  1977.63
    26.00    54.00  -143.35  -203.15   -34.11    69.04   122.30    -2.07    -2.96    -1.16    19.66    42.11  1407.43  2012.22
    26.00    56.00  -148.24  -203.30   -35.11    69.04   125.46    -2.07    -3.03    -1.25    19.66    43.81  1407.43  2044.89
    26.00     0.00 13659.02   220.84   411.00    69.04    12.00    -2.07    -1.30     0.97    19.66     0.00  1407.43   712.01
    26.00    -2.00 -5262.43  -360.41  -169.51    69.04     7.44    -2.07    -1.24     1.04    19.66    -1.49  1407.43   655.58
    26.00    -4.00 -2391.00  -272.20   -80.56    69.04     2.87    -2.07    -1.19     1.11    19.66    -2.97  1407.43   598.83
    26.00    -6.00 -1618.17  -248.46   -56.08    69.04    -1.73    -2.07    -1.13     1.18    19.66    -4.45  1407.43   541.77
    26.00    -8.00 -1259.00  -237.43   -44.30    69.04    -6.35    -2.07    -1.07     1.25    19.66    -5.93  1407.43   484.41
    26.00   -10.00 -1051.48  -231.05   -37.19    69.04   -10.99    -2.07    -1.01     1.32    19.66    -7.41  1407.43   426.77
    26.00   -12.00  -916.31  -226.90   -32.30    69.04   -15.65    -2.07    -0.96     1.39    19.66    -8.88  1407.43   368.86
    26.00   -14.00  -821.26  -223.98   -28.65    69.04   -20.33    -2.07    -0.90     1.46    19.66   -10.36  1407.43   310.68
